implementation,variant,cell,restarts,ttft_ms,itl_ms,total_request_latency_ms,output_tokens_per_second,requests_per_second,peak_gpu_memory_bytes,failures,timeouts
custom-server,complete,in1024-out256-c1,3,536.174,46.04,12325.531,20.714,0.081,15019802624,0,0
custom-server,complete,in1024-out256-c32,3,8507.927,62.954,24552.48,250.097,0.977,15019802624,0,0
custom-server,complete,in1024-out256-c8,3,2740.911,53.968,16501.675,123.859,0.484,15019802624,0,0
custom-server,complete,in128-out128-c1,3,69.231,39.858,5138.606,24.754,0.193,13771997184,0,0
custom-server,complete,in128-out128-c32,3,3057.27,45.91,8879.832,344.812,2.694,13774094336,0,0
custom-server,complete,in128-out128-c8,3,188.157,43.131,5660.574,178.986,1.398,13771997184,0,0
custom-server,complete,in512-out128-c1,3,273.873,42.331,5653.895,22.518,0.176,13774094336,0,0
custom-server,complete,in512-out128-c32,3,3689.159,53.361,10479.205,292.509,2.285,15019802624,0,0
custom-server,complete,in512-out128-c8,3,1100.131,47.471,7138.112,142.812,1.116,15019802624,0,0
custom-server,no_continuous_batching,in1024-out256-c1,3,535.031,45.483,12137.471,21.034,0.082,13614710784,0,0
custom-server,no_continuous_batching,in1024-out256-c32,3,29495.608,45.788,41149.137,21.786,0.085,13614710784,26,26
custom-server,no_continuous_batching,in1024-out256-c8,3,24373.758,45.544,35958.412,21.085,0.082,13614710784,3,3
custom-server,no_continuous_batching,in128-out128-c1,3,67.793,40.027,5150.6,24.695,0.193,13612613632,0,0
custom-server,no_continuous_batching,in128-out128-c32,3,28478.648,40.067,33558.103,24.818,0.194,13612613632,20,20
custom-server,no_continuous_batching,in128-out128-c8,3,18097.844,40.056,23194.986,24.816,0.194,13612613632,0,0
custom-server,no_continuous_batching,in512-out128-c1,3,281.787,42.347,5663.436,22.474,0.176,13614710784,0,0
custom-server,no_continuous_batching,in512-out128-c32,3,30011.512,42.343,35397.554,23.468,0.183,13614710784,20,20
custom-server,no_continuous_batching,in512-out128-c8,3,19699.016,42.417,25105.234,23.159,0.181,13614710784,0,0
custom-server,no_cuda_graph,in1024-out256-c1,5,530.34,60.546,16022.047,15.928,0.062,13555990528,0,0
custom-server,no_cuda_graph,in1024-out256-c32,5,9403.434,69.964,27273.961,225.0,0.879,13555990528,0,0
custom-server,no_cuda_graph,in1024-out256-c8,5,2726.096,64.022,19111.277,106.929,0.418,13555990528,0,0
custom-server,no_cuda_graph,in128-out128-c1,5,67.418,60.738,7856.287,16.226,0.127,12308185088,0,0
custom-server,no_cuda_graph,in128-out128-c32,5,4254.528,64.449,12440.485,246.458,1.925,12310282240,0,0
custom-server,no_cuda_graph,in128-out128-c8,5,191.324,63.708,8321.909,122.399,0.956,12308185088,0,0
