implementation,variant,cell,minimum_tok_s,maximum_tok_s,relative_range
custom-server,complete,in1024-out256-c1,20.391,20.915,0.02534666236697844
custom-server,complete,in1024-out256-c32,243.34,251.296,0.03204906993513107
custom-server,complete,in1024-out256-c8,122.971,124.52,0.012513800996364554
custom-server,complete,in128-out128-c1,24.428,24.833,0.016415591434168653
custom-server,complete,in128-out128-c32,343.053,348.97,0.017120371129446914
custom-server,complete,in128-out128-c8,173.645,181.231,0.04262899400968781
custom-server,complete,in512-out128-c1,22.164,22.705,0.024084764123643885
custom-server,complete,in512-out128-c32,292.39,293.177,0.002688833312834087
custom-server,complete,in512-out128-c8,141.954,144.565,0.018244664373175873
custom-server,no_continuous_batching,in1024-out256-c1,21.004,21.043,0.001854758168069526
custom-server,no_continuous_batching,in1024-out256-c32,21.711,21.894,0.00839565077762994
custom-server,no_continuous_batching,in1024-out256-c8,21.045,21.113,0.003225653432000277
custom-server,no_continuous_batching,in128-out128-c1,24.384,24.751,0.014912637139374274
custom-server,no_continuous_batching,in128-out128-c32,24.665,24.869,0.0082311168495804
custom-server,no_continuous_batching,in128-out128-c8,24.591,24.831,0.009698537137315059
custom-server,no_continuous_batching,in512-out128-c1,22.406,22.506,0.004451963315822341
custom-server,no_continuous_batching,in512-out128-c32,23.468,23.512,0.0018737224619577767
custom-server,no_continuous_batching,in512-out128-c8,23.015,23.222,0.008948642573058998
custom-server,no_cuda_graph,in1024-out256-c1,14.094,18.835,0.29366219865711957
custom-server,no_cuda_graph,in1024-out256-c32,219.794,232.933,0.05826307826293629
custom-server,no_cuda_graph,in1024-out256-c8,98.889,115.306,0.15347064080559703
custom-server,no_cuda_graph,in128-out128-c1,16.071,19.902,0.22627668245661697
custom-server,no_cuda_graph,in128-out128-c32,238.078,297.917,0.2350055767629639
custom-server,no_cuda_graph,in128-out128-c8,121.979,148.955,0.21116672433255013
custom-server,no_cuda_graph,in512-out128-c1,15.825,19.128,0.1988465335805621
custom-server,no_cuda_graph,in512-out128-c32,232.001,270.3,0.1549168159920396
custom-server,no_cuda_graph,in512-out128-c8,109.742,130.437,0.18036115807638012
custom-server,no_prefix_reuse,in1024-out256-c1,20.522,20.709,0.00907121143522417
custom-server,no_prefix_reuse,in1024-out256-c32,157.629,157.713,0.0005327357672875073
custom-server,no_prefix_reuse,in1024-out256-c8,109.954,110.073,0.0010816674039376309
custom-server,no_prefix_reuse,in128-out128-c1,24.6,24.739,0.005635592075033084
custom-server,no_prefix_reuse,in128-out128-c32,325.807,325.921,0.0003498374074387786
custom-server,no_prefix_reuse,in128-out128-c8,178.143,178.459,0.001771893065879671
custom-server,no_prefix_reuse,in512-out128-c1,22.305,22.464,0.007101278825683654
custom-server,no_prefix_reuse,in512-out128-c32,205.047,206.362,0.0063878777672707375
custom-server,no_prefix_reuse,in512-out128-c8,132.94,133.159,0.0016462905840697764
custom-server,no_triton,in1024-out256-c1,11.065,11.807,0.0647846332945286
custom-server,no_triton,in1024-out256-c32,29.392,29.631,0.008096571660869984
custom-server,no_triton,in1024-out256-c8,26.024,26.433,0.015589662795720743
custom-server,no_triton,in128-out128-c1,12.741,13.091,0.027031897639214247
custom-server,no_triton,in128-out128-c32,38.49,38.729,0.006190747552193887
custom-server,no_triton,in128-out128-c8,30.877,34.113,0.09840751740985901
custom-server,no_triton,in512-out128-c1,12.353,12.422,0.005571105608784652
custom-server,no_triton,in512-out128-c32,33.609,34.389,0.02288508557457216
custom-server,no_triton,in512-out128-c8,28.396,30.412,0.06787193212806782
vllm,complete,in1024-out256-c1,34.869,35.219,0.009982981393624243
vllm,complete,in1024-out256-c32,508.196,513.662,0.010684309220771283
vllm,complete,in1024-out256-c8,257.152,260.906,0.014473680828477576
vllm,complete,in128-out128-c1,32.695,33.838,0.03431745396317056
vllm,complete,in128-out128-c32,527.426,532.312,0.00920785324724757
vllm,complete,in128-out128-c8,267.459,270.675,0.011955168119551713
vllm,complete,in512-out128-c1,35.019,35.11,0.0025955258078930914
vllm,complete,in512-out128-c32,507.855,518.235,0.020179659887838926
vllm,complete,in512-out128-c8,260.113,262.117,0.0076774157297632125
